N° eqt,Pression Nominale Relative,Masse de Gaz,Rapport Masse/Pression
5000041380,3.5,8.0,2.2857142857142856
5000042036,3.5,67.0,19.142857142857142
5000042037,3.5,82.0,23.428571428571427
5000041223,3.5,66.0,18.857142857142858
5000041365,3.5,8.0,2.2857142857142856
5000041367,3.5,5.5,1.5714285714285714
5000041368,3.5,11.5,3.2857142857142856
5000042039,3.5,65.0,18.571428571428573
5000042040,3.5,64.0,18.285714285714285
5000041226,3.5,6.5,1.8571428571428572
5000041255,3.5,8.0,2.2857142857142856
5000041256,3.5,5.5,1.5714285714285714
5000041257,3.5,11.5,3.2857142857142856
5000041268,3.5,72.0,20.571428571428573
5000042025,3.5,6.5,1.8571428571428572
5000042026,3.5,6.5,1.8571428571428572
5000042110,3.5,74.0,21.142857142857142
5000042111,3.5,70.0,20.0
5000040880,3.5,146.0,41.714285714285715
5000041264,3.5,7.5,2.142857142857143
5000042028,3.5,147.0,42.0
5000042029,3.5,139.0,39.714285714285715
5000042108,3.5,16.0,4.571428571428571
5000042109,3.5,8.0,2.2857142857142856
5000041258,3.5,67.0,19.142857142857142
5000041259,3.5,82.0,23.428571428571427
5000041261,3.5,11.0,3.142857142857143
5000041262,3.5,16.0,4.571428571428571
5000041263,3.5,8.0,2.2857142857142856
5000042027,3.5,81.0,23.142857142857142
5000041251,3.5,8.0,2.2857142857142856
5000041252,3.5,5.5,1.5714285714285714
5000041254,3.5,11.5,3.2857142857142856
5000041260,3.5,64.0,18.285714285714285
5000042030,3.5,65.0,18.571428571428573
5000042107,3.5,66.0,18.857142857142858
5000002637,3.5,8.0,2.2857142857142856
5000005464,3.5,15.5,4.428571428571429
5000005465,3.5,17.5,5.0
5000012979,3.5,10.5,3.0
5000012980,3.5,10.5,3.0
5000012981,3.5,8.0,2.2857142857142856
5000012982,3.5,8.0,2.2857142857142856
5000013076,3.5,24.5,7.0
5000013077,3.5,24.5,7.0
5000013078,3.5,24.5,7.0
5000013079,3.5,26.5,7.571428571428571
5000013080,3.5,24.5,7.0
5000013081,3.5,26.5,7.571428571428571
5000013082,3.5,17.5,5.0
5000013083,3.5,10.5,3.0
5000005469,3.5,31.0,8.857142857142858
5000005470,3.5,16.0,4.571428571428571
5000012993,3.5,31.0,8.857142857142858
5000012994,3.5,31.0,8.857142857142858
5000012995,3.5,5.5,1.5714285714285714
5000012996,3.5,5.5,1.5714285714285714
5000012997,3.5,5.5,1.5714285714285714
5000012998,3.5,80.0,22.857142857142858
5000012999,3.5,80.0,22.857142857142858
5000013000,3.5,80.0,22.857142857142858
5000013001,3.5,16.0,4.571428571428571
5000013002,3.5,16.0,4.571428571428571
5000013003,3.5,8.0,2.2857142857142856
5000013004,3.5,8.0,2.2857142857142856
5000013005,3.5,8.0,2.2857142857142856
5000005278,3.5,40.0,11.428571428571429
5000005279,3.5,40.0,11.428571428571429
5000005280,3.5,19.0,5.428571428571429
5000005281,3.5,16.0,4.571428571428571
5000013347,3.5,40.0,11.428571428571429
5000013348,3.5,80.0,22.857142857142858
5000013349,3.5,80.0,22.857142857142858
5000013350,3.5,80.0,22.857142857142858
5000013351,3.5,19.0,5.428571428571429
5000013352,3.5,19.0,5.428571428571429
5000013353,3.5,16.0,4.571428571428571
5000013354,3.5,16.0,4.571428571428571
5000005283,3.5,133.5,38.142857142857146
5000005284,3.5,133.5,38.142857142857146
5000005285,3.5,133.5,38.142857142857146
5000005286,3.5,80.0,22.857142857142858
5000005287,3.5,133.5,38.142857142857146
5000005288,3.5,80.0,22.857142857142858
5000005289,3.5,19.0,5.428571428571429
5000005290,3.5,19.0,5.428571428571429
5000005291,3.5,19.0,5.428571428571429
5000005292,3.5,16.0,4.571428571428571
5000005293,3.5,16.0,4.571428571428571
5000005294,3.5,16.0,4.571428571428571
5000005166,3.5,50.0,14.285714285714286
5000005167,3.5,50.0,14.285714285714286
5000005168,3.5,16.0,4.571428571428571
5000005265,3.5,50.0,14.285714285714286
5000013248,3.5,80.0,22.857142857142858
5000013249,3.5,80.0,22.857142857142858
5000013250,3.5,80.0,22.857142857142858
5000013251,3.5,19.0,5.428571428571429
5000013252,3.5,19.0,5.428571428571429
5000013253,3.5,19.0,5.428571428571429
5000013254,3.5,16.0,4.571428571428571
5000013255,3.5,16.0,4.571428571428571
5000002604,3.5,59.0,16.857142857142858
5000002607,3.5,3.5,1.0
5000005216,3.5,43.0,12.285714285714286
5000005217,3.5,43.0,12.285714285714286
5000005218,3.5,8.0,2.2857142857142856
5000005219,3.5,8.0,2.2857142857142856
5000005220,3.5,8.0,2.2857142857142856
5000005221,3.5,3.5,1.0
5000005222,3.5,3.5,1.0
5000005310,3.5,59.0,16.857142857142858
5000005311,3.5,59.0,16.857142857142858
5000005312,3.5,43.0,12.285714285714286
5000005313,3.5,43.0,12.285714285714286
5000005314,3.5,43.0,12.285714285714286
5000005315,3.5,43.0,12.285714285714286
5000013284,3.5,80.0,22.857142857142858
5000013285,3.5,80.0,22.857142857142858
5000013286,3.5,80.0,22.857142857142858
5000002598,3.5,50.0,14.285714285714286
5000002599,3.5,80.0,22.857142857142858
5000002601,3.5,19.0,5.428571428571429
5000005298,3.5,50.0,14.285714285714286
5000005299,3.5,50.0,14.285714285714286
5000005300,3.5,80.0,22.857142857142858
5000005301,3.5,16.0,4.571428571428571
5000005302,3.5,16.0,4.571428571428571
5000005303,3.5,80.0,22.857142857142858
5000005304,3.5,19.0,5.428571428571429
5000005305,3.5,19.0,5.428571428571429
5000005306,3.5,16.0,4.571428571428571
5000002612,3.5,50.0,14.285714285714286
5000002614,3.5,80.0,22.857142857142858
5000005226,3.5,50.0,14.285714285714286
5000005227,3.5,50.0,14.285714285714286
5000005228,3.5,80.0,22.857142857142858
5000005229,3.5,80.0,22.857142857142858
5000005230,3.5,19.0,5.428571428571429
5000005231,3.5,19.0,5.428571428571429
5000005232,3.5,19.0,5.428571428571429
5000005233,3.5,16.0,4.571428571428571
5000005234,3.5,16.0,4.571428571428571
5000005235,3.5,16.0,4.571428571428571
5000005266,3.5,12.5,3.5714285714285716
5000005267,3.5,12.5,3.5714285714285716
5000005268,3.5,12.5,3.5714285714285716
5000005269,3.5,12.5,3.5714285714285716
5000005270,3.5,12.5,3.5714285714285716
5000005271,3.5,3.0,0.8571428571428571
5000005272,3.5,3.0,0.8571428571428571
5000005273,3.5,3.0,0.8571428571428571
5000005361,3.5,32.5,9.285714285714286
5000005362,3.5,32.5,9.285714285714286
